#Firmware: console20260214 firmware 20260220@4211171972 uaefi HONDA_OBD1 90
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,0,87230.79,87230.79,0,0
0,0,0,0,87230.79,0.0,0,0
1,0,0,0,87330.77,99.98,0,0
0,0,0,0,87330.77,0.0,0,0
1,0,0,0,87430.725,99.955,0,0
0,0,0,0,87430.725,0.0,0,0
1,0,0,0,87530.721,99.996,0,0
0,0,0,0,87530.721,0.0,0,0
1,0,0,1,87597.401,66.68,0,0
0,0,0,1,87597.401,0.0,0,0
1,0,0,1,87630.683,33.282,0,0
0,0,0,1,87630.683,0.0,0,0
1,0,0,1,87664.033,33.35,0,0
0,0,0,1,87664.033,0.0,0,0
1,0,0,1,87730.686,66.653,0,0
0,0,0,1,87730.686,0.0,0,0
1,0,0,1,87747.306,16.62,0,0
0,0,0,1,87747.306,0.0,0,0
1,0,0,1,87797.328,50.022,0,0
0,0,0,1,87797.328,0.0,0,0
0,0,1,1,87797.374,0.046,0,0
0,0,0,1,87797.377,0.003,0,0
1,0,0,1,87813.964,16.587,0,0
0,0,0,1,87813.964,0.0,0,0
1,0,0,1,87830.663,16.699,0,0
0,0,0,1,87830.663,0.0,0,0
1,0,0,1,87847.316,16.653,0,0
0,0,0,1,87847.316,0.0,0,0
1,0,0,1,87880.605,33.289,0,0
0,0,0,1,87880.605,0.0,0,0
1,0,0,1,87980.636,100.031,0,0
0,0,0,1,87980.636,0.0,0,0
1,0,0,1,88013.939,33.303,0,0
0,0,0,1,88013.939,0.0,0,0
1,0,0,1,88097.235,83.296,0,0
0,0,0,1,88097.235,0.0,0,0
1,0,0,1,88130.617,33.382,0,0
0,0,0,1,88130.617,0.0,0,0
1,0,0,1,88147.283,16.666,0,0
0,0,0,1,88147.283,0.0,0,0
1,0,0,1,88180.606,33.323,0,0
0,0,0,1,88180.606,0.0,0,0
1,0,0,1,88213.904,33.298,0,0
